Date,URI US Equity,AGCO US Equity,ATKR US Equity,CNHI US Equity ,TEX US Equity,PCAR US Equity,RS US Equity,CMI US Equity,GTES US Equity,KMT US Equity,MMM US Equity,AYI US Equity,CAT US Equity,DE US Equity,FLS US Equity,JCI US Equity,CARR US Equity,DOV US Equity,NVT US Equity,ALLE US Equity,LII US Equity,PH US Equity,GWW US Equity,HUBB US Equity,HON US Equity,IR US Equity,TT US Equity,ETN US Equity,FTV US Equity,OTIS US Equity,EMR US Equity,SWK US Equity,ITW US Equity,FAST US Equity,ROK US Equity,KNX US Equity,WERN US Equity
8/31/2017,11.687,19.806,11.333,19.37,23.195,15.609,12.946,15.299,#N/A N/A,15.752,22.926,19.3,19.944,16.954,22.344,13.828,#N/A N/A,16.297,#N/A N/A,20.365,19.91,17.667,15.73,19.277,17.987,16.45,13.58,14.836,18.662,#N/A N/A,21.063,18.648,20.399,21.082,23.01,24.518,24.906
9/30/2017,13.734,21.113,13.272,20.478,27.137,17.005,13.665,16.123,#N/A N/A,18.155,23.547,18.272,20.771,18.369,24.921,14.068,#N/A N/A,17.547,#N/A N/A,22.269,21.72,19.218,17.392,19.819,18.431,19.045,14.207,15.843,20.244,#N/A N/A,22.347,19.51,21.949,22.52,24.994,28.362,26.974
10/31/2017,12.134,19.005,12.474,19.899,22.791,15.566,13.462,15.837,#N/A N/A,18.921,24.63,18.277,17.728,19.424,23.938,14.17,#N/A N/A,17.711,#N/A N/A,20.677,22.002,19.404,18.454,20.633,18.277,18.009,13.802,16.007,19.335,#N/A N/A,22.274,19.859,22.402,22.625,27.16,26.036,24.74
11/30/2017,13.306,19.645,13.597,19.729,22.513,15.258,13.605,14.638,#N/A N/A,18.147,25.963,18.767,18.369,18.467,24.959,13.554,#N/A N/A,18.127,#N/A N/A,20.873,24.114,19.147,20.622,20.628,19.781,20.802,13.592,15.506,19.962,#N/A N/A,22.476,20.854,24.206,25.067,25.886,26.944,26.565
12/31/2017,14.226,19.836,13.706,18.467,23.272,15.198,14.843,15.529,#N/A N/A,18.778,24.818,18.982,19.894,19.208,24.666,13.723,#N/A N/A,18.718,#N/A N/A,19.732,24.037,20.338,22.092,22.161,19.456,21.598,13.816,15.881,19.347,#N/A N/A,24.056,20.852,23.62,26.344,26.31,27.393,26.784
1/31/2018,12.64,19.606,12.436,18.743,20.623,13.935,12.849,15.164,#N/A N/A,18.408,23.755,15.635,17.876,19.65,24.806,13.94,#N/A N/A,15.367,#N/A N/A,20.615,23.177,18.416,19.724,18.932,19.131,20.608,14.139,16.791,19.386,#N/A N/A,22.865,19.754,22.581,21.914,24.478,22.031,21.055
2/28/2018,12.069,18.078,10.255,17.15,16.353,13.217,13.183,13.378,18.768,14.96,22.241,14.51,16.868,16.281,25.729,12.905,#N/A N/A,13.969,#N/A N/A,18.821,20.101,16.759,19.104,18.25,18.103,18.807,13.243,15.661,18.75,#N/A N/A,22.007,18.917,20.985,21.766,22.457,21.16,19.241
3/31/2018,11.921,17.56,9.328,15.673,14.893,12.227,12.151,12.897,18.608,14.488,20.739,14.121,16.028,15.579,26.181,12.356,#N/A N/A,13.676,#N/A N/A,19.072,20.137,15.956,20.466,16.985,17.302,18.058,12.787,15.453,18.925,#N/A N/A,21.139,18.214,20.359,21.543,21.651,20.1,18.785
4/30/2018,10.099,16.047,8.066,15.24,13.496,11.392,10.802,12.464,15.353,12.7,18.346,13.281,13.623,13.56,25.29,11.615,#N/A N/A,13.649,#N/A N/A,16.775,18.867,14.957,18.888,14.27,16.939,17.398,12.05,14.224,16.579,#N/A N/A,19.806,16.278,18.046,19.558,19.775,16.167,16.626
5/31/2018,10.713,15.829,8.661,14.543,12.565,11.078,11.301,10.2,14.139,12.851,18.624,13.027,14.007,13.966,24.049,11.505,#N/A N/A,15.051,14.798,16.597,19.866,15.529,20.746,14.746,17.313,18.021,12.567,14.325,17.141,#N/A N/A,20.872,16.006,18.259,20.826,21.08,16.831,19.001
6/30/2018,9.822,15.112,8.328,12.897,13.406,10.977,10.498,9.527,15.48,12.435,18.597,12.601,12.472,13.133,23.502,11.444,#N/A N/A,14.558,13.769,16.766,19.567,14.258,20.723,14.545,16.853,16.148,12.855,13.973,18.168,#N/A N/A,20.377,15.237,17.613,18.845,19.953,15.809,18.202
7/31/2018,9.402,14.717,9.156,13.589,12.867,10.848,9.871,9.867,14.232,13.1,19.889,14.825,11.999,13.725,24.863,12.6,#N/A N/A,16.147,15.138,17.535,20.237,14.988,21.112,15.907,18.178,15.202,13.203,15.105,19.112,#N/A N/A,20.424,17.502,18.228,21.402,21.421,13.194,15.912
8/31/2018,9.828,14.028,10.033,13.719,11.354,11.221,9.444,9.595,15.797,13.04,19.764,16.298,11.439,12.91,27.302,12.829,#N/A N/A,16.716,15.519,18.773,22.056,15.405,21.487,16.602,18.089,14.601,13.474,14.913,19.555,#N/A N/A,21.694,16.436,17.671,21.89,20.702,13.818,15.833
